,date,Month,E01Temp,E02Temp,E03Temp,E04Temp,E05Temp,E06Temp,E07Temp,E08Temp,E09Temp
70,11/03/2017,March,7.72736311,8.414009809,7.812413692,8.275825977,9.011936188,8.821948051,9.427053452,8.367919922,8.476841927
71,12/03/2017,March,8.528807878,10.53382874,10.33298588,10.59910107,11.26273727,10.72589684,11.07913113,10.4083271,10.22259474
72,13/03/2017,March,6.629943728,8.082592249,7.606053948,7.932006598,7.277848959,6.927601814,7.697847009,6.884104013,7.106101632
73,14/03/2017,March,8.672827959,10.4102118,9.747259378,10.88359761,10.58223867,9.822248459,10.64547944,9.737212181,9.781573057
74,15/03/2017,March,7.385728002,8.19038105,7.578681946,8.617296457,9.34659934,9.22366786,9.618905067,8.854511976,9.261433363
75,16/03/2017,March,7.041911364,8.243650675,7.811711788,8.746426105,8.517562866,7.979967356,8.550380468,7.528803587,7.787571907
76,17/03/2017,March,5.841908336,6.460865021,6.142773986,6.902922153,6.733483791,6.49844861,7.156923532,6.254422665,5.829578638
77,18/03/2017,March,7.665596724,8.795325994,8.587362289,9.547256231,9.573722363,8.98560071,9.349775791,8.638301849,7.990858078
78,19/03/2017,March,8.522147179,10.2943275,10.35917091,10.87879777,11.07359314,10.70377016,10.94007397,10.21996832,9.74292326
79,20/03/2017,March,6.449356794,7.940919876,7.720028162,8.192691565,8.707597256,8.585198879,9.242805958,8.240628481,7.894407511
80,21/03/2017,March,3.357643574,5.09302032,4.510138631,4.595128357,4.860310614,4.632018745,5.286981821,4.231269598,3.905993938
81,22/03/2017,March,2.343817353,3.10013625,2.65627861,3.704574943,4.216259897,4.541456819,4.510325611,3.633002758,3.517201781
82,23/03/2017,March,4.113580823,5.592547059,4.767458916,5.865824103,6.226209044,5.779601455,6.648284435,5.567585528,5.617142081
83,24/03/2017,March,5.6502451,5.533285812,5.121114209,6.469345033,5.996125609,5.759624183,7.279614151,6.146879345,6.362005234
84,25/03/2017,March,7.064139813,8.916116118,8.152619094,7.482953489,6.97658056,6.596611619,7.454789937,6.655425787,6.888578176
85,26/03/2017,March,7.415237814,6.268484026,6.015775487,6.497345001,6.588673659,6.299316257,7.636458397,6.892851651,7.314606369
86,27/03/2017,March,7.005109549,6.038382292,5.35552156,6.166673362,5.590408921,5.865422606,6.633863449,5.949622154,6.710203648
87,28/03/2017,March,7.516332269,7.852453232,7.222896814,7.425808549,7.932858467,8.015452862,8.219260693,7.758054733,8.017283678
88,29/03/2017,March,8.810848475,9.151313782,8.834660411,9.638037682,9.909638405,9.407527685,9.937606096,9.064547062,8.821127892
89,30/03/2017,March,10.8482852,12.54069471,12.16162348,12.68353796,14.14566517,14.11971903,14.12460947,13.35688877,13.03964376
90,31/03/2017,March,10.94019365,12.54020071,12.30257797,12.84801865,14.05417776,13.87897825,13.77780676,13.0305748,13.12440252
91,01/04/2017,April,9.535110834,10.49510393,9.698868366,10.77391708,10.00393758,9.016225915,10.10150728,9.001074993,8.68414846
92,02/04/2017,April,8.305708888,10.05061428,9.752228331,9.935002011,9.213953131,8.293272582,9.320766811,8.623217907,8.060839393
93,03/04/2017,April,7.152538631,9.545535883,8.366465296,8.827135149,9.934131261,9.623987287,9.395468086,8.891447134,9.056276757
94,04/04/2017,April,8.658226766,11.45988747,10.6464525,11.07696895,10.28161077,9.376129793,11.03451829,9.808301466,10.23921766
95,05/04/2017,April,8.000742107,9.75371673,9.278077115,9.783985311,8.852739784,7.827586277,9.106706326,7.976107897,8.020966191
96,06/04/2017,April,5.68526116,8.715596003,7.830315281,7.830658022,7.488723871,7.215896174,6.914924997,6.137870377,5.705759186
97,07/04/2017,April,7.76218261,8.902203289,9.084905127,8.737275671,7.928964537,7.218442711,8.953471867,7.609524527,8.501441839
98,08/04/2017,April,7.478132057,8.622960556,7.45284351,8.54715688,9.064111124,9.141818812,9.864563306,9.039542273,9.828045984
